Text-density corpus filtering report
==================================================

Kept 20 of 195 downloaded papers

KEPT:
  2403.01421v2: 35 pages, 2507.5 chars/page
  2411.19444v3: 22 pages, 2494.6 chars/page
  2402.17413v3: 17 pages, 2487.7 chars/page
  2408.16891v2: 9 pages, 2479.7 chars/page
  2409.12516v1: 16 pages, 2477.3 chars/page
  2412.06412v2: 36 pages, 2467.4 chars/page
  2402.12350v3: 30 pages, 2452.6 chars/page
  2411.13384v2: 29 pages, 2433.4 chars/page
  2404.18884v2: 32 pages, 2431.2 chars/page
  2405.03910v2: 50 pages, 2426.6 chars/page
  2411.07984v2: 32 pages, 2404.9 chars/page
  2410.02927v1: 34 pages, 2391.1 chars/page
  2410.06580v3: 60 pages, 2390.1 chars/page
  2411.13783v2: 29 pages, 2380.7 chars/page
  2410.11034v2: 60 pages, 2375.1 chars/page
  2408.14872v2: 48 pages, 2359.9 chars/page
  2410.10474v1: 22 pages, 2349.2 chars/page
  2408.06427v2: 21 pages, 2339.9 chars/page
  2407.01528v3: 26 pages, 2331.5 chars/page
  2405.20415v3: 33 pages, 2318.4 chars/page
  2410.01265v2: 37 pages, 2316.8 chars/page
  2402.10287v2: 55 pages, 2304.5 chars/page
  2412.13914v3: 25 pages, 2280.7 chars/page
  2410.05459v2: 46 pages, 2276.4 chars/page
  2407.02634v3: 33 pages, 2272.8 chars/page
  2404.06803v2: 36 pages, 2260.1 chars/page
  2409.06325v3: 49 pages, 2252.9 chars/page
  2412.16352v2: 39 pages, 2247.6 chars/page
  2410.03930v3: 7 pages, 2245.9 chars/page
  2405.19529v4: 27 pages, 2228.7 chars/page
  2403.03363v6: 24 pages, 2207.5 chars/page
  2407.13130v2: 13 pages, 2184.7 chars/page
  2411.10728v3: 55 pages, 2181.5 chars/page
  2410.20982v2: 42 pages, 2164.0 chars/page
  2401.08028v3: 27 pages, 2155.2 chars/page
  2402.01892v2: 33 pages, 2152.8 chars/page
  2404.18869v2: 54 pages, 2133.8 chars/page
  2410.19236v2: 38 pages, 2095.7 chars/page
  2412.18252v2: 18 pages, 2090.7 chars/page
  2408.16309v2: 64 pages, 2083.5 chars/page
  2410.24191v1: 45 pages, 2082.0 chars/page
  2406.10612v1: 22 pages, 2074.7 chars/page
  2412.08070v2: 17 pages, 2061.5 chars/page
  2407.09711v4: 31 pages, 2058.2 chars/page
  2412.02459v2: 27 pages, 2046.4 chars/page
  2411.05391v4: 6 pages, 2037.3 chars/page
  2404.13877v2: 18 pages, 2030.6 chars/page
  2403.15076v1: 53 pages, 2013.5 chars/page
  2403.13637v6: 17 pages, 1996.4 chars/page
  2411.11059v1: 23 pages, 1971.2 chars/page
  2403.18177v2: 35 pages, 1951.2 chars/page
  2411.03676v2: 23 pages, 1945.2 chars/page
  2412.07587v6: 25 pages, 1929.7 chars/page
  2412.01649v1: 55 pages, 1846.4 chars/page
  2406.14184v3: 25 pages, 1836.1 chars/page
  2407.10577v1: 4 pages, 1818.5 chars/page
  2410.10304v2: 94 pages, 1812.3 chars/page
  2411.02807v4: 62 pages, 1807.8 chars/page
  2409.15621v2: 48 pages, 1788.9 chars/page
  2412.18432v3: 74 pages, 1767.6 chars/page
  2412.20019v2: 35 pages, 1739.7 chars/page
  2411.01864v1: 117 pages, 1718.7 chars/page
  2410.00158v1: 30 pages, 1711.4 chars/page
  2408.04814v3: 22 pages, 1702.5 chars/page
  2406.09670v4: 45 pages, 1655.5 chars/page
  2410.23587v3: 35 pages, 1540.5 chars/page
  2406.13580v2: 10 pages, 1521.9 chars/page
  2407.09976v3: 57 pages, 1469.9 chars/page
  2501.00225v2: 61 pages, 1459.7 chars/page
  2412.10243v3: 34 pages, 1451.9 chars/page
  2412.20245v4: 37 pages, 1448.8 chars/page
  2406.17567v1: 21 pages, 1402.0 chars/page
  2406.08366v2: 38 pages, 1368.6 chars/page
  2409.16507v2: 97 pages, 1364.8 chars/page
